English Word,French Translation,Type,Meaning 
Adulatress,Adulatress,n.,A woman who flatters with servility.
Adult,Adulte,a.,"Having arrived at maturity, or to full size and strength; matured; as, an adult person or plant; an adult ape; an adult age."
Adulter,adultère,v. i.,To commit adultery; to pollute.
Adulterant,adultère,n.,That which is used to adulterate anything.
Adulterated,Falsifié,imp. & p. p.,of Adulterate
Adulterating,adultérer,p. pr. & vb. n.,of Adulterate
Adulterate,Falsifier,v. t.,To defile by adultery.
Adulteration,Falsification,n.,"The act of adulterating; corruption, or debasement (esp. of food or drink) by foreign mixture."
Adulterator,adultère,n.,One who adulterates or corrupts.
Adulterer,Adultère,n.,A man who commits adultery; a married man who has sexual intercourse with a woman not his wife.
Adulteress,Femme adultère,n.,A woman who commits adultery.
Adulterine,L'adultère,a.,Proceeding from adulterous intercourse. Hence: Spurious; without the support of law; illegal.
Adulterize,adultérer,v. i.,To commit adultery.
Adulterous,Adultère,a.,"Guilty of, or given to, adultery; pertaining to adultery; illicit."
Adulterously,adultère,adv.,In an adulterous manner.
Adulteries,adultères,pl. ,of Adultery
Adultery,Adultère,n.,"The unfaithfulness of a married person to the marriage bed; sexual intercourse by a married man with another than his wife, or voluntary sexual intercourse by a married woman with another than her husband."
Adultness,L'âge adulte,n.,The state of being adult.
Adumbrant,Adumbrant,a.,"Giving a faint shadow, or slight resemblance; shadowing forth."
Adumbrate,Esquisser,v. t.,To give a faint shadow or slight representation of; to outline; to shadow forth.
Adumbration,Abrégé,n.,"The act of adumbrating, or shadowing forth."
Adumbrative,Adumbratif,a.,Faintly representing; typical.
Adunation,Adunation,n.,A uniting; union.
Adunc,Adunc,a.,Alt. of Adunque
Adunque,Adunque,a.,"Hooked; as, a parrot has an adunc bill."
Aduncity,Aduncity,n.,Curvature inwards; hookedness.
Aduncous,Adoucissant,a.,Curved inwards; hooked.
Adure,Adure,v. t.,To burn up.
Adust,Brûlé,a.,Inflamed or scorched; fiery.
Adusted,Ajusté,a.,Burnt; adust.
Adustible,Ajustable,a.,That may be burnt.
Adustion,Adusion,n.,"The act of burning, or heating to dryness; the state of being thus heated or dried."
Ad valorem,Ad valorem,,"A term used to denote a duty or charge laid upon goods, at a certain rate per cent upon their value, as stated in their invoice, -- in opposition to a specific sum upon a given quantity or number; as, an ad valorem duty of twenty per cent."
Advanced,Avancée,imp. & p. p.,of Advance
Advancing,Avancer,p. pr. & vb. n.,of Advance
Advance,Avance,v. t.,To bring forward; to move towards the van or front; to make to go on.
Advancement,Avancement,v. t.,"The act of advancing, or the state of being advanced; progression; improvement; furtherance; promotion to a higher place or dignity; as, the advancement of learning."
Advancer,Avanceur,n.,One who advances; a promoter.
Advancive,Avancé,a.,Tending to advance.
Advantage,Avantage,n.,"Any condition, circumstance, opportunity, or means, particularly favorable to success, or to any desired end; benefit; as, the enemy had the advantage of a more elevated position."
Advantaged,Avantagé,imp. & p. p.,of Advantage
Advantaging,Avantage,p. pr. & vb. n.,of Advantage
Advantageable,Avantageux,a.,Advantageous.
Advantageous,Avantageux,a.,"Being of advantage; conferring advantage; gainful; profitable; useful; beneficial; as, an advantageous position; trade is advantageous to a nation."
Advantageously,Avantageusement,adv.,Profitably; with advantage.
Advantageousness,Avantage,n.,Profitableness.
Advene,Advène,v. i.,"To accede, or come (to); to be added to something or become a part of it, though not essential."
Advenient,Advenient,a.,Coming from outward causes; superadded.
Advent,Avènement,n.,The period including the four Sundays before Christmas.
Adventist,adventiste,n.,"One of a religious body, embracing several branches, who look for the proximate personal coming of Christ; -- called also Second Adventists."
Adventitious,Adventice,a.,Added extrinsically; not essentially inherent; accidental or causal; additional; supervenient; foreign.
Adventive,Aventurier,a.,Accidental.
Adventual,Aventurier,a.,Relating to the season of advent.
Adventure,Aventure,n.,"That which happens without design; chance; hazard; hap; hence, chance of danger or loss."
Adventured,Aventuré,imp. & p. p.,of Adventure
Adventuring,Aventure,p. pr. & vb. n.,of Adventure
Adventureful,Aventurier,a.,Given to adventure.
Adventurer,Aventurier,n.,"One who adventures; as, the merchant adventurers; one who seeks his fortune in new and hazardous or perilous enterprises."
Adventuresome,Aventureux,a.,Full of risk; adventurous; venturesome.
Adventuress,Aventurière,n.,A female adventurer; a woman who tries to gain position by equivocal means.
Adventurous,Aventureux,n.,Inclined to adventure; willing to incur hazard; prone to embark in hazardous enterprise; rashly daring; -- applied to persons.
Adventurously,Aventureux,adv.,In an adventurous manner; venturesomely; boldly; daringly.
Adventurousness,Sens de l'aventure,n.,The quality or state of being adventurous; daring; venturesomeness.
Adverb,Adverbe,n.,"A word used to modify the sense of a verb, participle, adjective, or other adverb, and usually placed near it; as, he writes well; paper extremely white."
Adverbial,Adverbial,a.,"Of or pertaining to an adverb; of the nature of an adverb; as, an adverbial phrase or form."
Adverbiality,Adverbialité,n.,The quality of being adverbial.
Adverbialize,Adverbialiser,v. t.,To give the force or form of an adverb to.
Adverbially,Adverbialement,adv.,In the manner of an adverb.
Adversaria,Adversaire,n. pl.,"A miscellaneous collection of notes, remarks, or selections; a commonplace book; also, commentaries or notes."
Adversarious,Adversaire,a.,Hostile.
Adversaries,Adversaires,pl. ,of Adversary
Adversary,Adversaire,n.,One who is turned against another or others with a design to oppose or resist them; a member of an opposing or hostile party; an opponent; an antagonist; an enemy; a foe.
Adversative,Adversatif,a.,"Expressing contrariety, opposition, or antithesis; as, an adversative conjunction (but, however, yet, etc. ); an adversative force."
Adverse,Négatif,a.,"Acting against, or in a contrary direction; opposed; contrary; opposite; conflicting; as, adverse winds; an adverse party; a spirit adverse to distinctions of caste."
Adversely,négativement,adv.,In an adverse manner; inimically; unfortunately; contrariwise.
Adverseness,Négligence,n.,The quality or state of being adverse; opposition.
Adversifoliate,Adversifolié,a.,Alt. of Adversifolious
Adversifolious,Adversifolie,a.,"Having opposite leaves, as plants which have the leaves so arranged on the stem."
Adversion,Adversion,n.,A turning towards; attention.
Adversities,Adversités,pl. ,of Adversity
Adversity,Adversité,n.,Opposition; contrariety.
Adverted,Annoncé,imp. & p. p.,of Advert
Adverting,Publicité,p. pr. & vb. n.,of Advert
Advert,Publicité,v. i.,"To turn the mind or attention; to refer; to take heed or notice; -- with to; as, he adverted to what was said."
Advertence,Publicité,,Alt. of Advertency
Advertency,Publicité,,"The act of adverting, of the quality of being advertent; attention; notice; regard; heedfulness."
Advertent,Annonceur,a.,Attentive; heedful; regardful.
Advertised,Annoncé,imp. & p. p.,of Advertise
Advertising,Publicité,p. pr. & vb. n.,of Advertise
Advertise,Afficher,v. t.,"To give notice to; to inform or apprise; to notify; to make known; hence, to warn; -- often followed by of before the subject of information; as, to advertise a man of his loss."
Advertisement,Publicité,n.,The act of informing or notifying; notification.
Advertiser,Annonceur,n.,"One who, or that which, advertises."
Advice,Conseil,n.,"An opinion recommended or offered, as worthy to be followed; counsel."
Advisability,Opportunité,n.,The quality of being advisable; advisableness.
Advisable,Conseillé,a.,Proper to be advised or to be done; expedient; prudent.
Advisable-ness,Recommandé-ness,n.,The quality of being advisable or expedient; expediency; advisability.
Advisably,De préférence,adv.,With advice; wisely.
Advised,Informé,imp. & p. p.,of Advise
Advising,Conseiller,p. pr. & vb. n.,of Advise
Advise,Conseiller,v. t.,"To give advice to; to offer an opinion, as worthy or expedient to be followed; to counsel; to warn."
Advisedly,Délibérément,adv.,Circumspectly; deliberately; leisurely.
Advisedness,Conseils,n.,Deliberate consideration; prudent procedure; caution.
Advisement,Conseil,n.,Counsel; advice; information.
Adviser,Conseiller,n.,One who advises.
Advisership,Conseil,n.,The office of an adviser.
Adviso,Conseil,n.,"Advice; counsel; suggestion; also, a dispatch or advice boat."
Advisory,Consultatif,a.,"Having power to advise; containing advice; as, an advisory council; their opinion is merely advisory."
Advocacy,Plaidoyer,n.,The act of pleading for or supporting; work of advocating; intercession.
Advocate,Avocat,n.,One who pleads the cause of another. Specifically: One who pleads the cause of another before a tribunal or judicial court; a counselor.
Advocated,Avocat,imp. & p. p.,of Advocate
Advocating,Plaidoyer,p. pr. & vb. n.,of Advocate
Advocateship,Plaidoyer,n.,Office or duty of an advocate.
Advocation,Advocation,n.,The act of advocating or pleading; plea; advocacy.
Advocatory,Avocat,a.,Of or pertaining to an advocate.
Advoke,Conseiller,v. t.,To summon; to call.
Advolution,L'évolution,n.,A rolling toward something.
Advoutrer,Conseiller,n.,An adulterer.
Advoutress,avocate,n.,An adulteress.
Advoutry,Aventure,n.,Alt. of Advowtry
Advowtry,L'avidité,n.,Adultery.
Advowee,Conseiller,n.,One who has an advowson.
Advowson,Advowson,n.,"The right of presenting to a vacant benefice or living in the church. [Originally, the relation of a patron (advocatus) or protector of a benefice, and thus privileged to nominate or present to it.]"
Advoyer,Conseiller,n.,See Avoyer.
Adward,Adward,n.,Award.
Adynamia,adynamie,n.,"Considerable debility of the vital powers, as in typhoid fever."
Adynamic,Adynamique,a.,"Pertaining to, or characterized by, debility of the vital powers; weak."
Adynamy,l'Adynamie,n.,Adynamia.
Adyta,Adyta,pl. ,of Adytum
Adytum,Adytum,n.,"The innermost sanctuary or shrine in ancient temples, whence oracles were given. Hence: A private chamber; a sanctum."
Adz,Adz,n.,Alt. of Adze
Adze,Herminette,n.,"A carpenter's or cooper's tool, formed with a thin arching blade set at right angles to the handle. It is used for chipping or slicing away the surface of wood."
Ae,Ae,,Alt. of Ae
Aecidia,Écidies,pl. ,of Aecidium
Aecidium,Aecidium,n.,"A form of fruit in the cycle of development of the Rusts or Brands, an order of fungi, formerly considered independent plants."
Aedile,édile,n.,"A magistrate in ancient Rome, who had the superintendence of public buildings, highways, shows, etc.; hence, a municipal officer."
Aedileship,Aedileship,n.,The office of an aedile.
Aegean,égéen,a.,"Of or pertaining to the sea, or arm of the Mediterranean sea, east of Greece. See Archipelago."
Aegicrania,Égicranie,n. pl.,"Sculptured ornaments, used in classical architecture, representing rams' heads or skulls."
Aegilops,Aegilops,n.,An ulcer or fistula in the inner corner of the eye.
Aegis,Égide,n.,A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva. Also fig.: A shield; a protection.
Aegophony,Aégophonie,n.,Same as Egophony.
Aegrotat,Protection,n.,A medical certificate that a student is ill.
Aeneid,Énéide,n.,"The great epic poem of Virgil, of which the hero is Aeneas."
Aeneous,Aeneous,a.,Colored like bronze.
Aeolian,Éolienne,a.,"Of or pertaining to Aeolia or Aeolis, in Asia Minor, colonized by the Greeks, or to its inhabitants; aeolic; as, the Aeolian dialect."
Aeolic,éolique,a.,"Aeolian, 1; as, the Aeolic dialect; the Aeolic mode."
Aeolipile,éolipile,n.,Alt. of Aeolipyle
Aeolipyle,éolipyle,n.,"An apparatus consisting chiefly of a closed vessel (as a globe or cylinder) with one or more projecting bent tubes, through which steam is made to pass from the vessel, causing it to revolve."
Aeolotropic,Aéolotrope,a.,Exhibiting differences of quality or property in different directions; not isotropic.
Aeolotropy,Aéolotropie,n.,Difference of quality or property in different directions.
Aeolus,Éole,n.,The god of the winds.
Aeon,Temps infini,n.,"A period of immeasurable duration; also, an emanation of the Deity. See Eon."
Aeonian,Éonienne,a.,Eternal; everlasting.
Aepyornis,Aepyornis,n.,A gigantic bird found fossil in Madagascar.
Aerated,Aéré,imp. & p. p.,of Aerate
Aerating,Aérer,p. pr. & vb. n.,of Aerate
Aerate,Aérer,v. t.,"To combine or charge with gas; usually with carbonic acid gas, formerly called fixed air."
Aeration,Aération,n.,"Exposure to the free action of the air; airing; as, aeration of soil, of spawn, etc."
Aerator,Aérateur,n.,That which supplies with air; esp. an apparatus used for charging mineral waters with gas and in making soda water.
Aerial,Aérien,a.,"Of or pertaining to the air, or atmosphere; inhabiting or frequenting the air; produced by or found in the air; performed in the air; as, aerial regions or currents."
Aeriality,Aérien,n.,The state of being aerial; unsubstantiality.
Aerially,Aérien,adv.,"Like, or from, the air; in an aerial manner."
Aerie,Aire,n.,"The nest of a bird of prey, as of an eagle or hawk; also a brood of such birds; eyrie. Shak. Also fig.: A human residence or resting place perched like an eagle's nest."
Aeriferous,Aérien,a.,"Conveying or containing air; air-bearing; as, the windpipe is an aeriferous tube."
Aerification,Aérification,n.,"The act of combining air with another substance, or the state of being filled with air."
Aeriform,Aériforme,a.,"Having the form or nature of air, or of an elastic fluid; gaseous. Hence fig.: Unreal."
Aerify,Aérifier,v. t.,To infuse air into; to combine air with.
Aero-,Aéro-,,The combining form of the Greek word meaning air.
Aerobies,Aérobies,n. pl.,Microorganisms which live in contact with the air and need oxygen for their growth; as the microbacteria which form on the surface of putrefactive fluids.
Aerobiotic,Aérobiotique,a.,"Related to, or of the nature of, aerobies; as, aerobiotic plants, which live only when supplied with free oxygen."
Aerocyst,Aérokyste,n.,One of the air cells of algals.
Aerodynamic,Aérodynamique,a.,Pertaining to the force of air in motion.
Aerodynamics,Aérodynamique,n.,"The science which treats of the air and other gaseous bodies under the action of force, and of their mechanical effects."
Aerognosy,Aérognosie,n.,"The science which treats of the properties of the air, and of the part it plays in nature."
Aerographer,Aérographe,n.,One versed in aeography: an aerologist.
Aerographic,Aérographique,a.,Alt. of Aerographical
Aerographical,Aérographique,a.,Pertaining to aerography; aerological.
Aerography,Aérographie,n.,A description of the air or atmosphere; aerology.
Aerohydrodynamic,Aérohydrodynamique,a.,"Acting by the force of air and water; as, an aerohydrodynamic wheel."
Aerolite,Aérolithe,n.,"A stone, or metallic mass, which has fallen to the earth from distant space; a meteorite; a meteoric stone."
Aerolith,Aerolith,n.,Same as A/rolite.
Aerolithology,Aérolithologie,n.,The science of aerolites.
Aerolitic,aérolytique,a.,"Of or pertaining to aerolites; meteoric; as, aerolitic iron."
Aerologic,Aérologique,a.,Alt. of Aerological
Aerological,Aérologique,a.,Of or pertaining to aerology.
Aerologist,Aérologue,n.,One versed in aerology.
Aerology,Aérologie,n.,That department of physics which treats of the atmosphere.
Aeromancy,Aéromancie,n.,"Divination from the state of the air or from atmospheric substances; also, forecasting changes in the weather."
Aerometer,Aéromètre,n.,An instrument for ascertaining the weight or density of air and gases.
Aerometric,Aérométrique,a.,"Of or pertaining to aerometry; as, aerometric investigations."
Aerometry,Aérométrie,n.,"The science of measuring the air, including the doctrine of its pressure, elasticity, rarefaction, and condensation; pneumatics."
Aeronaut,Aéronaute,n.,An aerial navigator; a balloonist.
Aeronautic,Aéronautique,a.,Alt. of Aeronautical
Aeronautical,Aéronautique,a.,"Pertaining to aeronautics, or aerial sailing."
Aeronautics,Aéronautiques,n.,"The science or art of ascending and sailing in the air, as by means of a balloon; aerial navigation; ballooning."
Aerophobia,Aérophobie,n.,Alt. of Aerophoby
Aerophoby,Aérophobie,n.,Dread of a current of air.
Aerophyte,Aérophyte,n.,"A plant growing entirely in the air, and receiving its nourishment from it; an air plant or epiphyte."
Aeroplane,Avion,n.,"A flying machine, or a small plane for experiments on flying, which floats in the air only when propelled through it."
Aeroscope,Aéroscope,n.,"An apparatus designed for collecting spores, germs, bacteria, etc., suspended in the air."
Aeroscopy,Aéroscopie,n.,The observation of the state and variations of the atmosphere.
Aerose,Aérosé,a.,"Of the nature of, or like, copper; brassy."
Aerosiderite,Aérosidérite,n.,A mass of meteoric iron.
Aerosphere,Aérosphère,n.,The atmosphere.
Aerostat,Aérostat,n.,A balloon.
Aerostatic,Aérostatique,a.,Alt. of Aerostatical
Aerostatical,Aérostatique,a.,Of or pertaining to aerostatics; pneumatic.
Aerostatics,Aérostatique,n.,"The science that treats of the equilibrium of elastic fluids, or that of bodies sustained in them. Hence it includes aeronautics."
Aerostation,Aérostation,n.,Aerial navigation; the art of raising and guiding balloons in the air.
Aeruginous,Aérogineux,a.,"Of the nature or color of verdigris, or the rust of copper."
Aerugo,Aerugo,n.,"The rust of any metal, esp. of brass or copper; verdigris."
Aery,Aery,n.,An aerie.
Aesculapian,Esculape,a.,Pertaining to Aesculapius or to the healing art; medical; medicinal.
Aesculapius,Esculape,n.,"The god of medicine. Hence, a physician."
Aesculin,esculine,n.,Same as Esculin.
Esopian,ésopienne,a.,"Of or pertaining to Aesop, or in his manner."
Aesopic,ésopique,a.,Alt. of Esopic
Esopic,ésopique,a.,Same as Aesopian.
Aesthesia,Aesthésie,n.,Perception by the senses; feeling; -- the opposite of anaesthesia.
Aesthesiometer,Esthésiomètre,n.,Alt. of Esthesiometer
Esthesiometer,Esthésiomètre,n.,"An instrument to measure the degree of sensation, by determining at how short a distance two impressions upon the skin can be distinguished, and thus to determine whether the condition of tactile sensibility is normal or altered."
Aesthesis,Esthésie,n.,Sensuous perception.
Aesthesodic,Esthétique,a.,Conveying sensory or afferent impulses; -- said of nerves.
Aesthete,Esthète,n.,One who makes much or overmuch of aesthetics.
Aesthetic,Esthétique,a.,Alt. of Aesthetical
Aesthetical,Esthétique,a.,"Of or Pertaining to aesthetics; versed in aesthetics; as, aesthetic studies, emotions, ideas, persons, etc."
Aesthetican,Esthéticienne,n.,One versed in aesthetics.
Aestheticism,Esthétisme,n.,The doctrine of aesthetics; aesthetic principles; devotion to the beautiful in nature and art.
Aesthetics,Esthétique,n.,Alt. of Esthetics
Esthetics,Esthétique,n.,The theory or philosophy of taste; the science of the beautiful in nature and art; esp. that which treats of the expression and embodiment of beauty by art.
Aestho-physiology,Estho-physiologie,n.,The science of sensation in relation to nervous action.
Aestival,Estival,a.,"Of or belonging to the summer; as, aestival diseases."
Aestivate,Estiver,v. i.,To spend the summer.
Aestivation,Estivation,n.,"The state of torpidity induced by the heat and dryness of summer, as in certain snails; -- opposed to hibernation."
Aestuary,Estuaire,n. & a.,See Estuary.
Aestuous,Estueux,a.,"Glowing; agitated, as with heat."
Aetheogamous,éthéogame,a.,Propagated in an unusual way; cryptogamous.
Aether,Éther,n.,See Ether.
Aethiops mineral,Minéral d'éthiops,,Same as Ethiops mineral.
Aethogen,Éthogène,n.,"A compound of nitrogen and boro/, which, when heated before the blowpipe, gives a brilliant phosphorescent; boric nitride."
Aethrioscope,Aethrioscope,n.,"An instrument consisting in part of a differential thermometer. It is used for measuring changes of temperature produced by different conditions of the sky, as when clear or clouded."
Aetiological,étiologique,a.,Pertaining to aetiology; assigning a cause.
Aetiology,Étiologie,n.,"The science, doctrine, or demonstration of causes; esp., the investigation of the causes of any disease; the science of the origin and development of things."
Aetites,Etites,n.,See Eaglestone.
Afar,Au loin,adv.,"At, to, or from a great distance; far away; -- often used with from preceding, or off following; as, he was seen from afar; I saw him afar off."
Afeard,peur,p. a.,Afraid.
Afer,Après,n.,The southwest wind.
Affability,Affabilité,n.,The quality of being affable; readiness to converse; courteousness in receiving others and in conversation; complaisant behavior.
Affable,Affable,a.,Easy to be spoken to or addressed; receiving others kindly and conversing with them in a free and friendly manner; courteous; sociable.
Affableness,Affabilité,n.,Affability.
Affably,Affablement,adv.,In an affable manner; courteously.
Affabrous,affreux,a.,Executed in a workmanlike manner; ingeniously made.
Affair,Affaire,n.,"That which is done or is to be done; matter; concern; as, a difficult affair to manage; business of any kind, commercial, professional, or public; -- often in the plural. ""At the head of affairs."" Junius."
Affamish,Affamish,v. t. & i.,"To afflict with, or perish from, hunger."
Affamishment,Affamiment,n.,Starvation.
Affatuate,Affat,v. t.,To infatuate.
Affear,peur,v. t.,To frighten.
Affected,Affecté,imp. & p. p.,of Affect
Affecting,Affectant,p. pr. & vb. n.,of Affect
Affect,Affecter,v. t.,To act upon; to produce an effect or change upon.
Affectation,Affectation,n.,An attempt to assume or exhibit what is not natural or real; false display; artificial show.
Affectationist,Affectionniste,n.,One who exhibits affectation.
Affectedly,Affecté,adv.,In an affected manner; hypocritically; with more show than reality.
Affectedness,Affectation,n.,Affectation.
Affecter,Affecteur,n.,"One who affects, assumes, pretends, or strives after."
Affectibility,Affectibilité,n.,The quality or state of being affectible.
Affectible,Affectueux,a.,That may be affected.
Affectingly,Affectivement,adv.,In an affecting manner; is a manner to excite emotions.
Affection,Affection,n.,The act of affecting or acting upon; the state of being affected.
Affectional,Affectueux,a.,"Of or pertaining to the affections; as, affectional impulses; an affectional nature."
Affectionate,Affectueux,a.,"Having affection or warm regard; loving; fond; as, an affectionate brother."
Affectionated,Affectueux,a.,Disposed; inclined.
Affectionately,affectueusement,adv.,With affection; lovingly; fondly; tenderly; kindly.
Affectionateness,L'affection,n.,The quality of being affectionate; fondness; affection.
Affectioned,Affectueux,a.,Disposed.
Affective,Affectif,a.,Tending to affect; affecting.
Affectively,Affectivement,adv.,In an affective manner; impressively; emotionally.
Affectuous,Affectueux,a.,Full of passion or emotion; earnest.
Affeer,Affère,v. t.,To confirm; to assure.
Affeerer,Afferer,n.,Alt. of Affeeror
Affeeror,Afferor,n.,One who affeers.
Affeerment,Afferment,n.,The act of affeering.
Afferent,afférent,a.,"Bearing or conducting inwards to a part or organ; -- opposed to efferent; as, afferent vessels; afferent nerves, which convey sensations from the external organs to the brain."
Affettuoso,Affettuoso,adv.,With feeling.
Affiance,Fiancer,n.,Plighted faith; marriage contract or promise.
Affianced,fiancé,imp. / p. p.,of Affiance
Affiancing,Affiliation,p. pr. / vb. n.,of Affiance
Affiancer,fiancé,n.,One who makes a contract of marriage between two persons.
Affiant,Déposant,n.,One who makes an affidavit.
Affidavit,Déclaration sous serment,n.,"A sworn statement in writing; a declaration in writing, signed and made upon oath before an authorized magistrate."
Affile,Affiler,v. t.,To polish.
Affiliable,Affilable,a.,"Capable of being affiliated to or on, or connected with in origin."
Affiliated,Affilié,imp. & p. p.,of Affiliate
Affiliating,Affiliation,p. pr. & vb. n.,of Affiliate
Affiliate,Affilier,v. t.,"To adopt; to receive into a family as a son; hence, to bring or receive into close connection; to ally."
Affiliation,Affiliation,n.,Adoption; association or reception as a member in or of the same family or society.
Affinal,Affinale,a.,Related by marriage; from the same source.
Affine,Affine,v. t.,To refine.
Affined,Lié avec,a.,Joined in affinity or by any tie.
Affinitative,Affinitatif,a.,Of the nature of affinity.
Affinitive,Affinitive,a.,"Closely connected, as by affinity."
Affinities,Affinités,pl. ,of Affinity
Affinity,Affinité,n.,"Relationship by marriage (as between a husband and his wife's blood relations, or between a wife and her husband's blood relations); -- in contradistinction to consanguinity, or relationship by blood; -- followed by with, to, or between."
Affirmed,Affirmé,imp. & p. p.,of Affirm
Affirming,Affirmer,p. pr. & vb. n.,of Affirm
Affirm,Affirmer,v. t.,"to assert or confirm, as a judgment, decree, or order, brought before an appellate court for review."
Affirmable,Affirmable,a.,"Capable of being affirmed, asserted, or declared; -- followed by of; as, an attribute affirmable of every just man."
Affirmance,Affirmation,n.,Confirmation; ratification; confirmation of a voidable act.
Affirmant,Affirmant,n.,One who affirms or asserts.
Affirmation,Affirmation,n.,"Confirmation of anything established; ratification; as, the affirmation of a law."
Affirmative,Affirmative,a.,"Confirmative; ratifying; as, an act affirmative of common law."
Affirmatively,affirmativement,adv.,In an affirmative manner; on the affirmative side of a question; in the affirmative; -- opposed to negatively.
Affirmatory,affirmatif,a.,Giving affirmation; assertive; affirmative.
Affirmer,Affirmer,n.,One who affirms.
Affixed,Apposé,imp. & p. p.,of Affix
Affixing,L'apposition,p. pr. & vb. n.,of Affix
Affix,Affixe,v. t.,"To subjoin, annex, or add at the close or end; to append to; to fix to any part of; as, to affix a syllable to a word; to affix a seal to an instrument; to affix one's name to a writing."
Affixes,Affixe,pl. ,of Affix
Affixion,Apposition,n.,Affixture.
Affixture,Fixation,n.,"The act of affixing, or the state of being affixed; attachment."
Afflation,Afflation,n.,A blowing or breathing on; inspiration.
Afflatus,Afflatus,n.,A breath or blast of wind.
Afflicted,Affligé,imp. & p. p.,of Afflict
Afflicting,affligeant,p. pr. & vb. n.,of Afflict
Afflict,Affliger,v. t.,To strike or cast down; to overthrow.
Afflictedness,L'affliction,n.,The state of being afflicted; affliction.
Afflicter,Affligé,n.,One who afflicts.
Affliction,Affliction,n.,"The cause of continued pain of body or mind, as sickness, losses, etc.; an instance of grievous distress; a pain or grief."
Afflictionless,sans affliction,a.,Free from affliction.
Afflictive,Afflictif,a.,Giving pain; causing continued or repeated pain or grief; distressing.
Afflictively,affligeusement,adv.,In an afflictive manner.
Affluence,Richesse,n.,A flowing to or towards; a concourse; an influx.
Affluency,Affluence,n.,Affluence.
Affluent,Affluent,a.,Flowing to; flowing abundantly.
Affluently,Aisément,adv.,Abundantly; copiously.
Affluentness,Richesse,n.,Great plenty.
Afflux,Afflux,n.,"A flowing towards; that which flows to; as, an afflux of blood to the head."
Affluxion,afflux,n.,The act of flowing towards; afflux.
Affodill,Affodill,n.,Asphodel.
Afforce,Affirmer,v. t.,To reenforce; to strengthen.
Afforcement,Afforcement,n.,A fortress; a fortification for defense.
Afforciament,Affirmation,n.,See Afforcement.
Afforded,Offert,imp. & p. p.,of Afford
Affording,Se permettre,p. pr. & vb. n.,of Afford
Afford,S'offrir,v. t.,"To give forth; to supply, yield, or produce as the natural result, fruit, or issue; as, grapes afford wine; olives afford oil; the earth affords fruit; the sea affords an abundant supply of fish."
Affordable,Abordable,a.,That may be afforded.
Affordment,Abordement,n.,Anything given as a help; bestowal.
Afforest,Reboiser,v. t.,"To convert into a forest; as, to afforest a tract of country."
Afforestation,Boisement,n.,The act of converting into forest or woodland.
Afformative,Informatif,n.,An affix.
Affranchise,Affranchir,v. t.,To make free; to enfranchise.
Affranchisement,Affranchissement,n.,The act of making free; enfranchisement.
Affrap,Affrap,v. t. & i.,"To strike, or strike down."
Affrayed,Effrayé,p. p.,of Affray
Affray,Rixe,v. t.,To startle from quiet; to alarm.
Affrayer,Affrayer,n.,One engaged in an affray.
Affrayment,Affrayement,n.,Affray.
Affreight,Affaire,v. t.,"To hire, as a ship, for the transportation of goods or freight."
Affreighter,affréteur,n.,One who hires or charters a ship to convey goods.
Affreightment,Affrètement,n.,"The act of hiring, or the contract for the use of, a vessel, or some part of it, to convey cargo."
Affret,Affret,n.,A furious onset or attack.
Affriction,L'affliction,n.,The act of rubbing against.
Affriended,Amis,p. p.,Made friends; reconciled.
Affrighted,effrayé,imp. & p. p.,of Affright
Affrighting,Effrayant,p. pr. & vb. n.,of Affright
Affright,effroi,v. t.,To impress with sudden fear; to frighten; to alarm.
Affrightedly,effrayé,adv.,With fright.
Affrighten,effrayer,v. t.,To frighten.
Affrighter,l'effrayant,n.,One who frightens.
Affrightful,affreux,a.,Terrifying; frightful.
Affrightment,l'effroi,n.,Affright; the state of being frightened; sudden fear or alarm.
Affronted,Affronté,imp. & p. p.,of Affront
Affronting,Affronter,p. pr. & vb. n.,of Affront
Affront,Affront,v. t.,To front; to face in position; to meet or encounter face to face.
Affronte,Affronte,a.,"Face to face, or front to front; facing."
Affrontedly,avec désarroi,adv.,Shamelessly.
Affrontee,Affronté,n.,One who receives an affront.
Affronter,Affronter,n.,"One who affronts, or insults to the face."
Affrontingly,avec agressivité,adv.,In an affronting manner.
Affrontive,Affrontif,a.,Tending to affront or offend; offensive; abusive.
Affrontiveness,Affrontivité,n.,The quality that gives an affront or offense.
Affused,Affusé,imp. & p. p.,of Affuse
Affusing,Affusant,p. pr. & vb. n.,of Affuse
Affuse,Affuser,v. t.,To pour out or upon.
Affusion,affusion,n.,"The act of pouring upon, or sprinkling with a liquid, as water upon a child in baptism."
Affied,Affilié,imp. & p. p.,of Affy
Affying,Affiner,p. pr.,of Affy
Affy,Affy,v. t.,"To confide (one's self to, or in); to trust."
Afghan,afghan,a.,Of or pertaining to Afghanistan.
Afield,Un champ,adv.,"To, in, or on the field."
Afire,Un feu,adv. & a.,On fire.
Aflame,En flammes,adv. & a.,Inflames; glowing with light or passion; ablaze.
Aflat,Un appartement,adv.,Level with the ground; flat.
Aflaunt,Affreux,adv. & a.,In a flaunting state or position.
Aflicker,Afflicker,adv. & a.,In a flickering state.
Afloat,À flot,adv. & a.,Borne on the water; floating; on board ship.
Aflow,Aflow,adv. & a.,Flowing.
Aflush,affleurer,adv. & a.,In a flushed or blushing state.
